// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	      1611	      2364
       100	     10000	      1937	       488
      1000	     10000	      1342	       225
        10	     20000	       177	      1260
       100	     20000	       548	       222
      1000	     20000	      1697	       796
     10000	     20000	       288	      2228
        10	     30000	       266	       418
       100	     30000	       498	       219
      1000	     30000	       388	       518
     10000	     30000	       675	      1165
        10	     40000	       717	       397
       100	     40000	       687	       487
      1000	     40000	       447	       593
     10000	     40000	       555	       918
        10	     50000	       622	       510
       100	     50000	       409	       505
      1000	     50000	       771	       544
     10000	     50000	       482	       646
        10	     60000	       693	       619
       100	     60000	       903	       788
      1000	     60000	       905	       468
     10000	     60000	       655	       797
        10	     70000	       639	       726
       100	     70000	      1191	       855
      1000	     70000	      2031	       797
     10000	     70000	       607	       750
        10	     80000	      1428	       823
       100	     80000	      1227	      1027
      1000	     80000	       835	      1004
     10000	     80000	      1153	      1001
        10	     90000	      1239	       661
       100	     90000	      1072	      1160
      1000	     90000	       851	       679
     10000	     90000	      1648	       652
        10	    100000	      1240	       746
       100	    100000	      1270	      1608
      1000	    100000	      1456	       800
     10000	    100000	       932	       856
        10	    110000	      1257	      2366
       100	    110000	      1407	       797
      1000	    110000	      1219	      1131
     10000	    110000	      1481	       858
        10	    120000	      1266	      1060
       100	    120000	      1731	      1446
      1000	    120000	      1598	      1306
     10000	    120000	      1110	       926
        10	    130000	      1084	       963
       100	    130000	      1474	      1078
      1000	    130000	      1543	      1326
     10000	    130000	      2917	       898
        10	    140000	      2114	      1701
       100	    140000	      1248	      1068
      1000	    140000	      1436	      1840
     10000	    140000	      1834	       952
        10	    150000	      1867	      1201
       100	    150000	      1537	      1577
      1000	    150000	      1360	      1114
     10000	    150000	      1775	      1400
        10	    160000	      1623	      1953
       100	    160000	      1440	      1166
      1000	    160000	      2362	      1987
     10000	    160000	      1575	      1628
        10	    170000	      1963	      3145
       100	    170000	      1831	      1501
      1000	    170000	      1825	      1500
     10000	    170000	      1679	      1343
        10	    180000	      1960	      2410
       100	    180000	      1651	      1949
      1000	    180000	      2051	      1355
     10000	    180000	      1730	      2074
        10	    190000	      2226	      1677
       100	    190000	      2088	      1939
      1000	    190000	      1592	      1565
     10000	    190000	      2502	      1542
        10	    200000	      1897	      1573
       100	    200000	      1663	      1619
      1000	    200000	      1975	      2092
     10000	    200000	      2047	      2770
    100000	    200000	      2827	      3104
        10	    210000	      3544	      1758
       100	    210000	      2693	      2012
      1000	    210000	      2744	      1742
     10000	    210000	      2740	      1409
    100000	    210000	      2673	      1495
        10	    220000	      2020	      5589
       100	    220000	      2101	      1958
      1000	    220000	      1843	      2254
     10000	    220000	      2348	      2237
    100000	    220000	      5047	      2345
        10	    230000	      2500	      2297
       100	    230000	      3361	      2935
      1000	    230000	      4922	      2073
     10000	    230000	      3630	      1699
    100000	    230000	      4403	      1833
        10	    240000	      2630	      2332
       100	    240000	      1976	      1946
      1000	    240000	      2361	      2095
     10000	    240000	      2497	      1671
    100000	    240000	      2586	      1611
        10	    250000	      2196	      2602
       100	    250000	      2035	      2481
      1000	    250000	      2415	      1802
     10000	    250000	      2974	      2109
    100000	    250000	      2723	      3438
        10	    260000	      2681	      2324
       100	    260000	      2466	      2183
      1000	    260000	      3562	      2049
     10000	    260000	      2429	      2026
    100000	    260000	      3098	      2470
        10	    270000	      3873	      3075
       100	    270000	      2308	      2677
      1000	    270000	      3447	      2054
     10000	    270000	      2613	      1841
    100000	    270000	      2952	      1802
        10	    280000	      2350	      2382
       100	    280000	      2816	      2034
      1000	    280000	      2642	      2056
     10000	    280000	      2618	      2278
    100000	    280000	      3576	      3506
        10	    290000	      2711	      2565
       100	    290000	      2484	      3048
      1000	    290000	      3313	      2118
     10000	    290000	      2697	      1926
    100000	    290000	      4051	      2444
        10	    300000	      2908	      2525
       100	    300000	      2782	      2202
      1000	    300000	      3159	      2546
     10000	    300000	      3431	      2350
    100000	    300000	      4180	      1669
        10	    310000	      3002	      2723
       100	    310000	      3203	      2534
      1000	    310000	      3183	      2465
     10000	    310000	      3480	      2187
    100000	    310000	      3389	      1631
        10	    320000	      2811	      3271
       100	    320000	      2797	      2685
      1000	    320000	      3150	      2732
     10000	    320000	      3530	      2879
    100000	    320000	      3927	      2026
        10	    330000	      3219	      2618
       100	    330000	      2969	      2553
      1000	    330000	      3128	      3018
     10000	    330000	      3319	      2507
    100000	    330000	      3786	      3326
        10	    340000	      3178	      3202
       100	    340000	      3453	      3115
      1000	    340000	      4545	      2689
     10000	    340000	      3795	      2620
    100000	    340000	      5187	      1748
        10	    350000	      3159	      2866
       100	    350000	      3314	      2774
      1000	    350000	      3571	      3189
     10000	    350000	      3496	      2576
    100000	    350000	      4921	      2348
        10	    360000	      3328	      2809
       100	    360000	      3424	      3118
      1000	    360000	      3851	      2620
     10000	    360000	      4268	      3157
    100000	    360000	      5492	      3685
        10	    370000	      3405	      2899
       100	    370000	      3659	      3567
      1000	    370000	      3598	      3108
     10000	    370000	      4390	      2923
    100000	    370000	      4219	      2308
        10	    380000	      3314	      2774
       100	    380000	      3870	      3116
      1000	    380000	      3095	      2934
     10000	    380000	      3632	      2672
    100000	    380000	      5340	      1990
        10	    390000	      3598	      2925
       100	    390000	      4870	      3012
      1000	    390000	      4239	      3041
     10000	    390000	      4383	      3147
    100000	    390000	      4253	      2125
        10	    400000	      5224	      3779
       100	    400000	      3687	      3175
      1000	    400000	      3304	      3781
     10000	    400000	      3631	      2868
    100000	    400000	      4419	      2316
        10	    410000	      3437	      3944
       100	    410000	      4000	      3424
      1000	    410000	      3875	      3162
     10000	    410000	      4149	      3095
    100000	    410000	      4302	      2472
        10	    420000	      3815	      3388
       100	    420000	      3610	      3172
      1000	    420000	      3837	      3253
     10000	    420000	      6219	      2712
    100000	    420000	      5156	      2867
        10	    430000	      3678	      3445
       100	    430000	      4130	      3571
      1000	    430000	      3889	      3135
     10000	    430000	      4139	      2982
    100000	    430000	      4273	      2002
        10	    440000	      5579	      3487
       100	    440000	      6086	      3253
      1000	    440000	      3835	      3218
     10000	    440000	      4547	      3582
    100000	    440000	      4720	      2674
        10	    450000	      5958	      3602
       100	    450000	      5154	      3606
      1000	    450000	      3956	      3582
     10000	    450000	      4129	      3237
    100000	    450000	      7232	      2183
        10	    460000	      4056	      5204
       100	    460000	      4526	      4216
      1000	    460000	      4466	      3961
     10000	    460000	      3929	      5961
    100000	    460000	      9268	      3664
        10	    470000	      7269	      3949
       100	    470000	      4032	      3459
      1000	    470000	      5550	      4193
     10000	    470000	      4862	      3292
    100000	    470000	      6190	      2111
        10	    480000	      4521	      3543
       100	    480000	      4450	      3831
      1000	    480000	      4320	      3934
     10000	    480000	      4167	      3626
    100000	    480000	      5306	      2474
        10	    490000	      5649	      4342
       100	    490000	      5341	      3564
      1000	    490000	      4424	      3521
     10000	    490000	      5513	      4699
    100000	    490000	      5579	      2551
        10	    500000	      4594	      4197
       100	    500000	      5130	      4056
      1000	    500000	      4319	      4446
     10000	    500000	      6155	      3668
    100000	    500000	      5618	      3978
        10	    510000	      5117	      4684
       100	    510000	      4386	      4584
      1000	    510000	      4277	      4779
     10000	    510000	      5028	      3487
    100000	    510000	      6206	      4076
        10	    520000	      4976	      4555
       100	    520000	      5276	      4133
      1000	    520000	      5106	      4088
     10000	    520000	      5277	      3342
    100000	    520000	      6247	      3865
        10	    530000	      4555	      4516
       100	    530000	      5612	      4220
      1000	    530000	      5393	      4291
     10000	    530000	      5361	      3403
    100000	    530000	      6190	      2627
        10	    540000	      6110	      4916
       100	    540000	      4920	      5039
      1000	    540000	      4824	      4084
     10000	    540000	      5372	      3654
    100000	    540000	      5493	      2389
        10	    550000	      4660	      4319
       100	    550000	      6138	      4763
      1000	    550000	      5449	      4277
     10000	    550000	      4788	      3716
    100000	    550000	      5821	      2869
        10	    560000	      5453	      4213
       100	    560000	      5227	      4069
      1000	    560000	      5244	      4533
     10000	    560000	      5830	      4093
    100000	    560000	      6404	      3439
        10	    570000	      6501	      4469
       100	    570000	      5195	      4389
      1000	    570000	      4845	      5002
     10000	    570000	      5295	      3968
    100000	    570000	      5974	      2529
        10	    580000	      5202	      4763
       100	    580000	      5695	      4874
      1000	    580000	      5420	      4420
     10000	    580000	      5206	      4199
    100000	    580000	      6224	      2597
        10	    590000	      7704	      5178
       100	    590000	      5915	      4916
      1000	    590000	      5329	      4914
     10000	    590000	      5781	      4254
    100000	    590000	      6414	      3276
        10	    600000	      5516	      5085
       100	    600000	      5183	      5207
      1000	    600000	      5724	      4595
     10000	    600000	      5973	      4288
    100000	    600000	      7076	      2957
        10	    610000	      5101	      4791
       100	    610000	      5539	      4657
      1000	    610000	      5935	      5069
     10000	    610000	      7113	      4761
    100000	    610000	      6832	      2954
        10	    620000	      7152	      5067
       100	    620000	      7733	      4960
      1000	    620000	      7391	      6282
     10000	    620000	      7682	      4478
    100000	    620000	     10136	      2673
        10	    630000	      5463	      5521
       100	    630000	      6073	      4723
      1000	    630000	      5591	      5587
     10000	    630000	      5600	      4389
    100000	    630000	      7385	      2962
        10	    640000	      6057	      5283
       100	    640000	      5553	      5177
      1000	    640000	      6911	      5320
     10000	    640000	      5946	      4189
    100000	    640000	      8039	      3523
        10	    650000	      5694	      4969
       100	    650000	      6523	      6374
      1000	    650000	      6686	      5111
     10000	    650000	      5837	      4580
    100000	    650000	      6911	      3228
        10	    660000	      6657	      5309
       100	    660000	      9630	      4965
      1000	    660000	      6211	      5462
     10000	    660000	      6210	      4867
    100000	    660000	      7026	      3654
        10	    670000	      7434	      5335
       100	    670000	      6829	      5195
      1000	    670000	      6270	      5871
     10000	    670000	      6927	      4477
    100000	    670000	     14798	      3335
        10	    680000	      5965	      5253
       100	    680000	      6857	      5681
      1000	    680000	      6464	      5183
     10000	    680000	      6176	      4445
    100000	    680000	      8309	      4035
        10	    690000	      7302	      6271
       100	    690000	      6087	      5800
      1000	    690000	      6196	      4998
     10000	    690000	      6295	      5105
    100000	    690000	      7040	      4073
        10	    700000	      6362	      5283
       100	    700000	      5693	      5789
      1000	    700000	      6899	      5503
