// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	      1202	       886
       100	     10000	      1384	       235
      1000	     10000	       146	       402
        10	     20000	       268	       312
       100	     20000	       268	       299
      1000	     20000	       231	       226
     10000	     20000	       190	       940
        10	     30000	       264	       232
       100	     30000	       250	       245
      1000	     30000	       279	       275
     10000	     30000	       324	       475
        10	     40000	       327	       285
       100	     40000	       363	       298
      1000	     40000	       374	       307
     10000	     40000	       361	       300
        10	     50000	       396	       331
       100	     50000	       444	       315
      1000	     50000	       391	       324
     10000	     50000	       403	       338
        10	     60000	       509	       398
       100	     60000	       529	       461
      1000	     60000	       521	       387
     10000	     60000	       515	       446
        10	     70000	       570	       466
       100	     70000	       571	       475
      1000	     70000	       584	       493
     10000	     70000	       564	       463
        10	     80000	       649	       546
       100	     80000	       662	       526
      1000	     80000	       655	       593
     10000	     80000	      1015	       539
        10	     90000	       725	       618
       100	     90000	       728	       599
      1000	     90000	       792	       587
     10000	     90000	       755	       571
        10	    100000	       796	       692
       100	    100000	       796	       794
      1000	    100000	       812	       664
     10000	    100000	       787	       679
        10	    110000	       888	       742
       100	    110000	       890	       742
      1000	    110000	       905	       729
     10000	    110000	       918	       755
        10	    120000	       979	       778
       100	    120000	       955	       819
      1000	    120000	       981	       820
     10000	    120000	       948	       807
        10	    130000	      1053	       856
       100	    130000	      1017	       834
      1000	    130000	      1079	       878
     10000	    130000	      1037	       808
        10	    140000	      1128	       901
       100	    140000	      1135	       919
      1000	    140000	      1085	       919
     10000	    140000	      1245	       866
        10	    150000	      1174	       951
       100	    150000	      1180	       992
      1000	    150000	      1852	       976
     10000	    150000	      1189	       941
        10	    160000	      1256	      1067
       100	    160000	      1312	      1066
      1000	    160000	      1249	      1029
     10000	    160000	      1294	      1049
        10	    170000	      1374	      1156
       100	    170000	      1368	      1107
      1000	    170000	      1349	      1105
     10000	    170000	      1347	      1099
        10	    180000	      1462	      1214
       100	    180000	      1422	      1173
      1000	    180000	      1408	      1207
     10000	    180000	      1472	      1177
        10	    190000	      1556	      1274
       100	    190000	      1528	      1280
      1000	    190000	      1490	      1256
     10000	    190000	      1666	      1145
        10	    200000	      1604	      1350
       100	    200000	      1668	      1347
      1000	    200000	      1656	      1341
     10000	    200000	      1751	      1249
    100000	    200000	      2008	      1138
        10	    210000	      1679	      1417
       100	    210000	      1640	      1435
      1000	    210000	      1674	      1379
