// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	       964	       807
       100	     10000	      1370	       271
      1000	     10000	      1052	       425
        10	     20000	       170	       182
       100	     20000	       188	       191
      1000	     20000	       179	       396
     10000	     20000	       218	       551
        10	     30000	       238	       273
       100	     30000	       265	       238
      1000	     30000	       240	       352
     10000	     30000	       327	       702
        10	     40000	       334	       339
       100	     40000	       329	       320
      1000	     40000	       378	       321
     10000	     40000	       370	       424
        10	     50000	       394	       401
       100	     50000	       380	       370
      1000	     50000	       421	       433
     10000	     50000	       395	       488
        10	     60000	       499	       470
       100	     60000	       492	       466
      1000	     60000	       491	       478
     10000	     60000	       492	       549
        10	     70000	       570	       529
       100	     70000	       575	       538
      1000	     70000	       582	       569
     10000	     70000	       578	       632
        10	     80000	       641	       635
       100	     80000	       640	       636
      1000	     80000	       671	       637
     10000	     80000	       683	       692
        10	     90000	       740	       684
       100	     90000	       720	       718
      1000	     90000	       742	       685
     10000	     90000	       750	       763
        10	    100000	       812	       736
       100	    100000	       799	       762
      1000	    100000	       915	       819
     10000	    100000	       822	       854
        10	    110000	       907	       891
       100	    110000	       892	       824
      1000	    110000	       846	       848
     10000	    110000	       931	       887
        10	    120000	       991	       942
       100	    120000	       931	       913
      1000	    120000	       941	       903
     10000	    120000	       990	       953
        10	    130000	      1034	       978
       100	    130000	      1017	      1045
      1000	    130000	      1072	      1004
     10000	    130000	      1039	      1031
        10	    140000	      1111	      1063
       100	    140000	      1115	      1064
      1000	    140000	      1096	      1091
     10000	    140000	      1392	      1083
        10	    150000	      1182	      1185
       100	    150000	      1136	      1144
      1000	    150000	      1198	      1131
     10000	    150000	      1463	      1149
        10	    160000	      1298	      1177
       100	    160000	      1289	      1183
      1000	    160000	      1289	      1258
     10000	    160000	      1292	      1226
        10	    170000	      1445	      1332
       100	    170000	      1348	      1264
      1000	    170000	      1350	      1325
     10000	    170000	      1358	      1318
        10	    180000	      1449	      1407
       100	    180000	      1490	      1365
      1000	    180000	      1419	      1447
     10000	    180000	      1446	      1385
        10	    190000	      1478	      1456
       100	    190000	      1491	      1603
      1000	    190000	      1540	      1514
     10000	    190000	      1529	      1453
        10	    200000	      1603	      1516
       100	    200000	      1597	      1496
      1000	    200000	      1548	      1611
     10000	    200000	      1655	      1419
    100000	    200000	      1829	      1830
        10	    210000	      1772	      1594
       100	    210000	      1667	      1712
      1000	    210000	      1747	      1657
     10000	    210000	      2063	      1579
    100000	    210000	      2056	      1778
        10	    220000	      1753	      1678
       100	    220000	      1715	      1750
      1000	    220000	      1723	      1617
     10000	    220000	      1809	      1581
    100000	    220000	      2060	      1827
        10	    230000	      1794	      1787
       100	    230000	      1768	      1767
      1000	    230000	      1807	      1757
     10000	    230000	      1864	      1728
    100000	    230000	      2084	      3325
        10	    240000	      1890	      1874
       100	    240000	      1894	      1835
      1000	    240000	      1875	      1793
     10000	    240000	      1950	      1735
    100000	    240000	      2218	      1888
        10	    250000	      1979	      1930
       100	    250000	      2200	      2284
      1000	    250000	      1946	      1889
     10000	    250000	      1989	      1776
    100000	    250000	      2343	      3222
        10	    260000	      2046	      1993
       100	    260000	      2000	      1954
      1000	    260000	      2017	      1932
     10000	    260000	      2068	      1830
    100000	    260000	      2484	      1946
        10	    270000	      2092	      2044
       100	    270000	      2154	      2149
      1000	    270000	      2173	      2001
     10000	    270000	      2228	      1999
    100000	    270000	      2497	      3605
        10	    280000	      2228	      2155
       100	    280000	      2136	      2509
      1000	    280000	      2232	      2184
     10000	    280000	      2204	      2019
    100000	    280000	      2543	      2018
        10	    290000	      2324	      2260
       100	    290000	      2321	      2229
      1000	    290000	      2284	      2210
     10000	    290000	      2277	      2065
    100000	    290000	      2677	      2062
        10	    300000	      2328	      2279
       100	    300000	      2349	      2297
      1000	    300000	      2369	      2272
     10000	    300000	      2391	      2117
    100000	    300000	      2793	      2556
        10	    310000	      2473	      2337
       100	    310000	      2350	      2402
      1000	    310000	      2398	      2440
     10000	    310000	      2428	      2200
    100000	    310000	      2890	      2140
        10	    320000	      2463	      2430
       100	    320000	      2495	      2384
      1000	    320000	      2520	      2425
     10000	    320000	      2609	      2234
    100000	    320000	      3022	      3459
        10	    330000	      2584	      2497
       100	    330000	      2566	      2509
      1000	    330000	      2602	      2448
     10000	    330000	      2652	      2330
    100000	    330000	      2995	      2270
        10	    340000	      2620	      2644
       100	    340000	      2637	      2572
      1000	    340000	      2584	      2546
     10000	    340000	      2662	      2362
    100000	    340000	      3176	      2249
        10	    350000	      2785	      2608
       100	    350000	      2763	      2702
      1000	    350000	      2867	      2621
     10000	    350000	      2853	      2462
    100000	    350000	      3311	      2383
        10	    360000	      3092	      2758
       100	    360000	      2878	      2837
      1000	    360000	      2859	      2727
     10000	    360000	      2917	      2637
    100000	    360000	      3358	      2438
        10	    370000	      2965	      2831
       100	    370000	      2851	      2789
      1000	    370000	      2881	      2869
     10000	    370000	      2942	      2597
    100000	    370000	      3512	      2454
        10	    380000	      3009	      2960
       100	    380000	      2956	      2855
      1000	    380000	      2971	      2836
