// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	       934	       709
       100	     10000	      1011	       373
      1000	     10000	      1064	       382
        10	     20000	       502	       862
       100	     20000	       468	       613
      1000	     20000	       480	       438
     10000	     20000	       498	      1121
        10	     30000	       290	       308
       100	     30000	       280	       237
      1000	     30000	       269	       431
     10000	     30000	       265	       469
        10	     40000	       476	       417
       100	     40000	       380	       373
      1000	     40000	       391	       305
     10000	     40000	       487	       368
        10	     50000	       678	       480
       100	     50000	       623	       475
      1000	     50000	       498	       331
     10000	     50000	       473	       437
        10	     60000	       643	       519
       100	     60000	       748	       399
      1000	     60000	       536	       467
     10000	     60000	       558	       482
        10	     70000	       608	       572
       100	     70000	       892	       616
      1000	     70000	       656	       617
     10000	     70000	       648	       638
        10	     80000	       802	       689
       100	     80000	       687	       608
      1000	     80000	       743	       606
     10000	     80000	       679	       699
        10	     90000	       826	       974
       100	     90000	       867	       661
      1000	     90000	       803	       884
     10000	     90000	      1004	       685
        10	    100000	      1062	       750
       100	    100000	       949	       769
      1000	    100000	       858	       736
     10000	    100000	      1276	       799
        10	    110000	       908	      1012
       100	    110000	       951	       746
      1000	    110000	       985	       811
     10000	    110000	       982	       808
        10	    120000	      1200	      1044
       100	    120000	      1053	       847
      1000	    120000	      1122	       903
     10000	    120000	      1183	       827
        10	    130000	      1142	       980
       100	    130000	      1145	      1138
      1000	    130000	      1280	       943
     10000	    130000	      1211	       999
        10	    140000	      1354	       998
       100	    140000	      1381	      1009
      1000	    140000	      1491	      1002
     10000	    140000	      1262	       995
        10	    150000	      1401	      1063
       100	    150000	      1514	      1118
      1000	    150000	      1499	      1088
     10000	    150000	      1309	      1099
        10	    160000	      1507	      1158
       100	    160000	      1651	      1307
      1000	    160000	      2042	      1243
     10000	    160000	      1594	      1058
        10	    170000	      1467	      1354
       100	    170000	      1413	      1486
      1000	    170000	      1924	      1141
     10000	    170000	      1865	      1260
        10	    180000	      1591	      1599
       100	    180000	      1548	      1304
      1000	    180000	      1561	      1365
     10000	    180000	      1532	      1339
        10	    190000	      1768	      1279
       100	    190000	      1679	      1395
      1000	    190000	      1869	      1350
     10000	    190000	      1780	      1281
        10	    200000	      1886	      1462
       100	    200000	      1873	      1420
      1000	    200000	      1730	      1410
     10000	    200000	      1925	      1348
    100000	    200000	      1913	      1424
        10	    210000	      2166	      1551
       100	    210000	      1892	      1533
      1000	    210000	      1887	      1443
     10000	    210000	      1771	      1462
    100000	    210000	      2001	      1372
        10	    220000	      2100	      1534
       100	    220000	      1993	      1702
      1000	    220000	      1963	      1545
     10000	    220000	      2086	      1448
    100000	    220000	      2280	      1489
        10	    230000	      2187	      1827
       100	    230000	      2541	      1535
      1000	    230000	      2111	      1601
     10000	    230000	      1942	      1508
    100000	    230000	      2423	      1339
        10	    240000	      2364	      1715
       100	    240000	      2046	      1847
      1000	    240000	      2090	      1695
     10000	    240000	      1946	      1714
    100000	    240000	      2332	      1270
        10	    250000	      2312	      1776
       100	    250000	      2393	      1857
      1000	    250000	      2084	      1738
     10000	    250000	      2284	      1587
    100000	    250000	      2456	      1427
        10	    260000	      2243	      1813
       100	    260000	      2573	      1936
      1000	    260000	      2258	      1725
     10000	    260000	      2077	      1840
    100000	    260000	      2474	      1436
        10	    270000	      2162	      2324
       100	    270000	      2600	      2034
      1000	    270000	      2338	      1954
     10000	    270000	      2436	      1625
    100000	    270000	      2805	      1271
        10	    280000	      2626	      2183
       100	    280000	      2838	      2123
      1000	    280000	      2294	      2174
     10000	    280000	      2495	      2002
    100000	    280000	      2681	      1596
        10	    290000	      2691	      2014
       100	    290000	      3141	      2015
      1000	    290000	      2554	      2171
     10000	    290000	      2478	      2159
    100000	    290000	      2678	      1474
        10	    300000	      3184	      2207
       100	    300000	      2663	      2131
      1000	    300000	      2412	      2133
     10000	    300000	      2731	      1863
    100000	    300000	      2839	      1552
        10	    310000	      2799	      2218
       100	    310000	      2703	      2164
      1000	    310000	      2693	      2180
     10000	    310000	      2828	      1948
    100000	    310000	      3272	      1566
        10	    320000	      3030	      2576
       100	    320000	      3250	      2382
      1000	    320000	      2992	      2395
     10000	    320000	      2811	      1988
    100000	    320000	      3290	      1660
        10	    330000	      2696	      2249
       100	    330000	      3004	      2397
      1000	    330000	      2877	      2333
     10000	    330000	      2815	      2065
    100000	    330000	      3082	      3293
        10	    340000	      3215	      2398
       100	    340000	      2974	      2742
      1000	    340000	      3028	      2318
     10000	    340000	      2685	      2101
    100000	    340000	      3184	      1650
        10	    350000	      3025	      2501
       100	    350000	      3385	      3007
      1000	    350000	      3035	      2482
     10000	    350000	      3503	      2447
    100000	    350000	      4205	      1779
        10	    360000	      3431	      2642
       100	    360000	      3274	      2541
      1000	    360000	      3041	      2654
     10000	    360000	      3148	      2376
    100000	    360000	      3673	      1708
        10	    370000	      3399	      2664
       100	    370000	      3171	      2675
      1000	    370000	      3227	      2726
     10000	    370000	      3247	      3077
    100000	    370000	      3452	      1834
        10	    380000	      3327	      2781
       100	    380000	      3418	      2774
      1000	    380000	      3249	      2466
     10000	    380000	      3442	      2233
    100000	    380000	      3695	      3500
        10	    390000	      3485	      2837
       100	    390000	      3368	      2840
      1000	    390000	      3115	      2557
     10000	    390000	      3285	      2472
    100000	    390000	      3883	      2003
        10	    400000	      4069	      2852
       100	    400000	      3632	      2631
      1000	    400000	      3345	      2730
     10000	    400000	      3596	      2844
    100000	    400000	      3861	      1803
        10	    410000	      4101	      3058
       100	    410000	      3912	      3014
      1000	    410000	      3276	      3234
     10000	    410000	      3219	      2521
    100000	    410000	      3997	      1940
        10	    420000	      4031	      3151
       100	    420000	      3605	      3294
      1000	    420000	      3332	      3086
     10000	    420000	      4030	      2588
    100000	    420000	      4226	      1932
        10	    430000	      4152	      3296
       100	    430000	      4056	      3142
      1000	    430000	      3531	      2819
     10000	    430000	      3702	      3086
    100000	    430000	      4391	      4022
        10	    440000	      4113	      2963
       100	    440000	      3707	      3058
      1000	    440000	      3871	      3209
     10000	    440000	      4028	      2938
    100000	    440000	      4733	      2051
        10	    450000	      3778	      3388
       100	    450000	      3626	      3043
      1000	    450000	      3838	      3002
     10000	    450000	      3675	      2783
    100000	    450000	      4467	      2192
        10	    460000	      4253	      3398
       100	    460000	      3818	      3101
      1000	    460000	      3723	      3219
     10000	    460000	      3699	      3133
    100000	    460000	      4541	      2062
        10	    470000	      4007	      3490
       100	    470000	      3921	      3140
      1000	    470000	      3935	      3497
     10000	    470000	      3982	      2870
    100000	    470000	      4720	      2063
        10	    480000	      4483	      3427
